,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,logFC,logCPM,F,PValue,FDR
ENSG00000106785.15,TRIM14,9830,9,-1,98069275,98119222,0.080683788,6.144226281,0.461108967,0.504768636,0.6948336
ENSG00000106789.13,CORO2A,7464,9,-1,98120975,98192637,0.272471579,5.249039407,5.447210177,0.029970705,0.135199397
ENSG00000106799.13,TGFBR1,7046,9,1,99104038,99154192,-0.340333238,5.4978476,11.80085054,0.002574386,0.031930919
ENSG00000106803.10,SEC61B,10952,9,1,99222064,99230615,-0.342240322,6.461052176,1.378264864,0.253974813,0.469278564
ENSG00000106804.7,C5,727,9,-1,120932987,121075195,-0.163711524,1.726423763,0.688604001,0.416283445,0.621036438
ENSG00000106823.12,ECM2,1842,9,-1,92493554,92536655,1.450153437,-0.905822039,9.022486968,0.006932916,0.058003961
ENSG00000106829.18,TLE4,7091,9,1,79571773,79726882,0.702572059,3.332315392,8.386111743,0.008839791,0.066571929
ENSG00000106853.20,PTGR1,22949,9,-1,111549722,111599893,0.020963878,6.29785868,0.060799655,0.807710613,0.898512039
ENSG00000106868.16,SUSD1,64420,9,-1,112040783,112175297,-0.52974289,3.915174248,10.47712821,0.004072734,0.04210263
ENSG00000106948.16,AKNA,80709,9,-1,114334156,114394405,0.398837424,3.750354864,3.091737647,0.093745854,0.267169533
ENSG00000106976.20,DNM1,1759,9,1,128191655,128255248,0.651216162,5.262688374,13.45684126,0.001494328,0.023004105
ENSG00000106991.13,ENG,2022,9,-1,127815013,127854658,-0.231071402,4.342520749,1.917760758,0.18112318,0.387381587
ENSG00000106992.19,AK1,203,9,-1,127866486,127877675,0.211164202,5.400187142,1.502601847,0.234290406,0.448164982
ENSG00000106993.12,CDC37L1,55664,9,1,4679559,4708399,-0.082773072,4.127686802,0.770728985,0.390255199,0.600152703
ENSG00000107020.10,PLGRKT,55848,9,-1,5357971,5437925,-0.412075817,4.282614493,2.842840073,0.10707845,0.289418733
ENSG00000107021.16,TBC1D13,54662,9,1,128787253,128810430,0.274786605,5.168919278,15.87195366,0.00071192,0.014685388
ENSG00000107036.12,RIC1,57589,9,1,5629025,5776557,0.095874946,4.961735283,0.44305823,0.513136468,0.701819431
ENSG00000107077.18,KDM4C,23081,9,1,6720863,7175648,-0.043308953,4.689824304,0.072213857,0.790849994,0.888974212
ENSG00000107099.15,DOCK8,81704,9,1,214854,465259,0.693361512,0.874778895,2.156906711,0.157243046,0.358204605
ENSG00000107104.18,KANK1,23189,9,1,470291,746105,0.664484497,4.342483591,4.419094326,0.178684429,0.384912078
ENSG00000107130.10,NCS1,23413,9,1,130172404,130237303,-0.324277465,5.25919938,6.439198492,0.019448781,0.105720371
ENSG00000107140.16,TESK1,7016,9,1,35605262,35610041,0.304296311,5.0874604,15.91188907,0.000703573,0.014625203
ENSG00000107159.13,CA9,768,9,1,35673928,35681159,-0.67386617,5.229202595,5.057528535,0.035758996,0.150569747
ENSG00000107164.16,FUBP3,8939,9,1,130578965,130638352,-0.040424492,6.486567198,0.18161441,0.674470299,0.816126026
ENSG00000107165.12,TYRP1,7306,9,1,12685439,12710285,1.201601825,1.419777264,3.814524449,0.069327493,0.223647761
ENSG00000107175.12,CREB3,10488,9,1,35732598,35736999,-0.037676755,5.757470914,0.041109004,0.841344258,0.918164721
ENSG00000107185.9,RGP1,9827,9,1,35749287,35758585,0.161027304,6.206033413,1.829807196,0.191013346,0.398968796
ENSG00000107201.10,RIGI,23586,9,-1,32455302,32526208,-0.247779867,4.712386367,3.727461227,0.067599564,0.220320269
ENSG00000107223.13,EDF1,8721,9,-1,136862119,136866308,-0.197986704,7.794215268,0.564000079,0.461263266,0.658136596
ENSG00000107242.18,PIP5K1B,8395,9,1,68705240,69009176,0.790876342,2.854284751,8.335133374,0.009016165,0.067246812
ENSG00000107249.23,GLIS3,169792,9,-1,3824127,4348392,0.0785357,4.070715355,0.128134041,0.724066542,0.850039046
ENSG00000107262.22,BAG1,573,9,-1,33247820,33264720,0.214368728,7.202321567,2.056153273,0.166804092,0.369613554
ENSG00000107263.18,RAPGEF1,2889,9,-1,131576770,131740076,0.184346493,6.46772654,1.814633295,0.192786626,0.401255959
ENSG00000107281.10,NPDC1,56654,9,-1,137039463,137046179,-0.06037048,6.397867478,0.302614008,0.588245395,0.756002812
ENSG00000107290.14,SETX,23064,9,-1,132261356,132354986,-0.115071168,6.135885015,1.441279012,0.243742794,0.458998383
ENSG00000107317.13,PTGDS,5730,9,1,136975092,136981742,1.034785147,0.980699074,10.54170118,0.003980484,0.04149932
ENSG00000107331.17,ABCA2,20,9,-1,137007234,137028915,0.25235155,7.07811243,2.113869009,0.161243322,0.363536721
ENSG00000107338.10,SHB,6461,9,-1,37915898,38069227,-0.310616997,5.965384779,5.633915838,0.027578042,0.129569664
ENSG00000107341.5,UBE2R2,54926,9,1,33817160,33920399,0.040186688,6.749931819,0.441388448,0.513923033,0.701941113
ENSG00000107362.13,ABHD17B,51104,9,-1,71862452,71911193,0.261457578,3.778966196,4.952709726,0.037524932,0.154724697
ENSG00000107371.13,EXOSC3,51010,9,-1,37759234,37832117,-0.445670114,4.851990115,6.953104715,0.015680996,0.093296384
ENSG00000107372.13,ZFAND5,7763,9,-1,72351413,72365235,0.033678741,7.433970501,0.083216872,0.77590684,0.881905758
ENSG00000107404.20,DVL1,1855,1,-1,1335276,1349418,-0.049223118,7.484246076,0.191280161,0.666466754,0.811691426
ENSG00000107438.9,PDLIM1,9124,10,-1,95237572,95291012,0.179691025,7.405769083,2.700145783,0.115725551,0.301980469
ENSG00000107443.16,CCNJ,54619,10,1,96043394,96060870,-0.168853156,3.652404785,1.908866446,0.182094116,0.388811435
ENSG00000107485.17,GATA3,2625,10,1,8045378,8075198,0.721221867,1.049730532,9.075834831,0.006795146,0.057350012
ENSG00000107518.18,ATRNL1,26033,10,1,115093365,115948999,0.214456818,0.152159513,0.106416444,0.747597632,0.865970517
ENSG00000107521.19,HPS1,3257,10,-1,98410939,98446963,0.276490529,5.741945131,13.70519148,0.00138089,0.022007157
ENSG00000107537.14,PHYH,5264,10,-1,13277796,13302412,0.119855465,4.912147636,0.981844757,0.333398372,0.550622373
ENSG00000107551.21,RASSF4,83937,10,1,44959407,44995891,0.679280815,3.913946796,32.84486701,1.24E-05,0.00194756
ENSG00000107554.17,DNMBP,23268,10,-1,99875577,100009947,-0.151191808,6.002710786,0.662491586,0.425118529,0.627662116
ENSG00000107560.12,RAB11FIP2,22841,10,-1,118004916,118046941,-0.103686647,4.113466813,0.888813323,0.356875048,0.572070319
ENSG00000107566.14,ERLIN1,10613,10,-1,100150094,100186033,-0.037765777,6.269727742,0.277827559,0.603836832,0.766244195
ENSG00000107581.13,EIF3A,8661,10,-1,119033670,119080823,0.019920538,8.612566879,0.015849113,0.901053843,0.948413508
ENSG00000107611.15,CUBN,8029,10,-1,16823966,17129811,0.428075194,5.190342099,1.885426853,0.184683787,0.392142682
ENSG00000107614.22,TRDMT1,1787,10,-1,17137336,17202054,-0.394097336,2.738761611,9.86365584,0.005077817,0.04864736
ENSG00000107625.13,DDX50,79009,10,1,68901286,68946847,-0.26337528,5.54602799,8.140980726,0.009724694,0.069787759
ENSG00000107643.16,MAPK8,5599,10,1,48306639,48439360,-0.07352484,4.822854906,0.862810314,0.36385817,0.578104453
ENSG00000107651.13,SEC23IP,11196,10,1,119892707,119944657,-0.053553945,5.78389909,0.363286463,0.553355265,0.731758827
ENSG00000107669.17,ATE1,11101,10,-1,121709393,121928801,-0.113440259,5.271040806,1.989849713,0.173484123,0.378436327
ENSG00000107672.15,NSMCE4A,54780,10,-1,121957091,121975217,-0.109029385,4.565198736,0.635296237,0.434635211,0.636016979
ENSG00000107679.14,PLEKHA1,59338,10,1,122374696,122432354,0.004053827,5.836276582,0.001584777,0.968633775,0.983899928
ENSG00000107719.9,PALD1,27143,10,1,70478767,70668754,-0.802197255,4.296011171,12.8132411,0.00183928,0.025915382
ENSG00000107731.12,UNC5B,219699,10,1,71212570,71302864,0.160120179,4.419011605,0.486227163,0.49351755,0.685822904
ENSG00000107736.20,CDH23,64072,10,1,71396920,71815947,0.692434228,1.066038186,2.789895713,0.110194823,0.293934995
ENSG00000107738.20,VSIR,64115,10,-1,71747556,71773520,0.405768007,4.728527063,9.203392321,0.006477902,0.056005997
ENSG00000107742.13,SPOCK2,9806,10,-1,72059034,72089032,0.042512497,0.73603151,0.019232657,0.891066892,0.943789126
ENSG00000107745.19,MICU1,10367,10,-1,72367340,72626131,0.04257746,5.897590198,0.319123634,0.578319385,0.749280988
ENSG00000107758.15,PPP3CB,5532,10,-1,73436433,73496024,-0.055682782,5.442767895,0.747355219,0.397406785,0.606648844
ENSG00000107771.17,CCSER2,54462,10,1,84328586,84518521,-0.168861565,5.134197193,5.316580607,0.031784036,0.139547252
ENSG00000107779.13,BMPR1A,657,10,1,86756601,86932825,-0.023512014,5.356963262,0.106901452,0.747044177,0.865458421
ENSG00000107789.16,MINPP1,9562,10,1,87504875,87553461,0.171140696,4.879328747,4.067024467,0.057138118,0.199149523
ENSG00000107796.13,ACTA2,59,10,-1,88935074,88991339,0.188588089,2.738788867,1.566784363,0.224894017,0.438905015
ENSG00000107798.18,LIPA,3988,10,-1,89213569,89414557,-0.131248779,6.756902891,2.049922817,0.167418262,0.370299506
ENSG00000107807.13,TLX1,3195,10,1,101131300,101137789,0.817341925,1.577649903,2.237444951,0.15007536,0.349206652
ENSG00000107815.10,TWNK,56652,10,1,100987367,100994403,-0.27379915,5.13394555,9.475106382,0.00585555,0.052829373
ENSG00000107816.17,LZTS2,84445,10,1,100996618,101007836,0.357156501,6.579804913,10.63794425,0.003847259,0.040535454
ENSG00000107819.13,SFXN3,81855,10,1,101031234,101041241,-0.019908276,5.9946903,0.061377477,0.806818362,0.898145307
ENSG00000107821.14,KAZALD1,81621,10,1,101061989,101068131,0.80471237,2.924221061,17.6514622,0.000426623,0.011469787
ENSG00000107829.14,FBXW4,6468,10,-1,101610664,101695295,0.402389151,5.525675343,34.18131262,9.55E-06,0.001749774
ENSG00000107833.10,NPM3,10360,10,-1,101781325,101783446,-0.579309311,5.252803884,5.515764753,0.029065972,0.13294351
ENSG00000107854.6,TNKS2,80351,10,1,91798426,91865475,0.027945084,6.061749901,0.050979636,0.823623028,0.907400659
ENSG00000107862.4,GBF1,8729,10,1,102245371,102382899,0.335304965,6.355368465,3.510423953,0.075440369,0.234089328
ENSG00000107863.18,ARHGAP21,57584,10,-1,24583609,24723887,-0.003034461,6.530885713,0.000716946,0.978899772,0.989523448
ENSG00000107864.15,CPEB3,22849,10,-1,92046692,92291078,0.567081253,1.587874562,4.486343101,0.04668148,0.178000358
ENSG00000107872.12,FBXL15,79176,10,1,102419189,102423136,0.283029532,4.425084653,2.597163608,0.122481394,0.311935032
ENSG00000107874.11,CUEDC2,79004,10,-1,102423245,102432584,0.086852089,5.436847796,0.348548314,0.561445826,0.737606094
ENSG00000107882.11,SUFU,51684,10,1,102503972,102633535,0.329995397,4.373721547,6.348938894,0.020210226,0.107686607
ENSG00000107890.16,ANKRD26,22852,10,-1,26973793,27100494,0.097853705,3.536512529,0.316679383,0.579767159,0.750503685
ENSG00000107897.19,ACBD5,91452,10,-1,27168135,27243046,0.159190695,5.834971667,1.831681396,0.190795726,0.398949983
ENSG00000107902.14,LHPP,64077,10,1,124461823,124617888,0.612610253,4.652030314,29.0823099,2.66E-05,0.002524697
ENSG00000107929.14,LARP4B,23185,10,-1,806933,931821,-0.047560871,6.223182714,0.267825378,0.61038314,0.769493819
ENSG00000107937.19,GTPBP4,23560,10,1,988434,1019932,-0.272840815,6.289461822,8.424813241,0.008708457,0.065974642
ENSG00000107938.18,EDRF1,26098,10,1,125719515,125764143,-0.072011373,4.037315114,0.236911089,0.631655267,0.784822455
ENSG00000107949.17,BCCIP,56647,10,1,125823546,125853695,-0.345952856,5.99984603,5.368005688,0.031055792,0.137923348
ENSG00000107951.14,MTPAP,55149,10,-1,30309801,30374448,-0.394850717,4.740705802,23.18072436,0.000101173,0.005129857
ENSG00000107957.16,SH3PXD2A,9644,10,-1,103594027,103855584,0.20537087,6.211426638,1.196664497,0.28678929,0.504842098
ENSG00000107959.16,PITRM1,10531,10,-1,3137728,3172841,-0.186986908,6.580352628,3.760198646,0.066500347,0.218224563
ENSG00000107960.11,STN1,79991,10,-1,103856806,103918332,-0.377643111,5.244627499,10.35682825,0.004250985,0.043281004
ENSG00000107968.10,MAP3K8,1326,10,1,30434021,30461833,0.401561165,3.043142676,5.249677257,0.032760517,0.14200331
ENSG00000107984.10,DKK1,22943,10,1,52314281,52318042,-0.781677239,7.25756993,7.603613006,0.012031502,0.079287834
ENSG00000108001.13,EBF3,253738,10,-1,129835233,129973053,0.487821742,0.731572464,1.960920904,0.549230836,0.728665357
ENSG00000108010.12,GLRX3,10539,10,1,130136391,130184521,-0.507477529,6.342381496,10.6960867,0.003769174,0.040131948
ENSG00000108021.20,TASOR2,54906,10,1,5684731,5763779,-0.15803979,5.869111161,1.230923916,0.280186885,0.498299094
ENSG00000108039.18,XPNPEP1,7511,10,-1,109864766,109923553,0.027943944,6.229708708,0.167179692,0.686908239,0.825024876
ENSG00000108055.9,SMC3,9126,10,1,110567684,110606048,-0.390942647,6.384582321,6.06849174,0.022798145,0.115486563
ENSG00000108061.11,SHOC2,8036,10,1,110919367,111017307,-0.127854766,5.377059116,4.162352101,0.054543967,0.194077533
ENSG00000108064.11,TFAM,7019,10,1,58385345,58399220,-0.391315362,5.887595545,16.16307433,0.000653487,0.014083961
ENSG00000108091.11,CCDC6,8030,10,-1,59788747,59906556,0.094029867,6.361140658,1.3939098,0.25138327,0.466869336
ENSG00000108094.14,CUL2,8453,10,-1,35008504,35127006,-0.091143423,5.089387851,2.272746523,0.147058405,0.34552184
ENSG00000108100.18,CCNY,219771,10,1,35247025,35572669,-0.058642718,6.435777249,0.767215256,0.391317916,0.601100733
ENSG00000108106.14,UBE2S,27338,19,-1,55399745,55407788,-0.803372671,7.580081308,8.578509362,0.008207909,0.063540534
ENSG00000108107.14,RPL28,6158,19,1,55385932,55403250,-0.234478599,10.30732547,0.784483099,0.386136413,0.596375784
ENSG00000108175.17,ZMIZ1,57178,10,1,79068966,79316519,-0.132545796,5.822531075,0.762724156,0.392682543,0.602436031
ENSG00000108179.14,PPIF,10105,10,1,79347469,79355334,-0.412398136,6.029095102,7.733162892,0.011424183,0.076597182
ENSG00000108187.16,PBLD,64081,10,-1,68282660,68333049,0.824015821,3.019076009,28.53564245,2.99E-05,0.00266742
ENSG00000108219.15,TSPAN14,81619,10,1,80454265,80533124,0.126677281,6.419675004,2.419401293,0.135280319,0.329159303
ENSG00000108239.8,TBC1D12,23232,10,1,94402541,94536332,-0.080087168,3.778223768,0.721085797,0.405682508,0.613502388
ENSG00000108242.13,CYP2C18,1562,10,1,94683729,94736190,0.190532412,-0.266944203,0.075148691,0.786750414,0.888094892
ENSG00000108244.16,KRT23,25984,17,-1,40922700,40937646,-0.733557129,1.557809024,4.195528015,0.053672953,0.192178275
ENSG00000108256.9,NUFIP2,57532,17,-1,29255839,29294148,-0.097171199,6.45934946,0.91411481,0.350263522,0.56561431
ENSG00000108262.15,GIT1,28964,17,-1,29573475,29594054,0.064423776,6.567794993,0.994996708,0.330256401,0.547110284
ENSG00000108298.11,RPL19,6143,17,1,39200283,39204840,-0.266325716,10.17400888,1.020429379,0.324296627,0.541432272
ENSG00000108306.13,FBXL20,84961,17,-1,39252663,39402523,0.231568704,4.427616361,2.989256851,0.098985173,0.275713585
ENSG00000108312.15,UBTF,7343,17,-1,44205033,44221626,0.310526932,7.243386379,9.070831907,0.006807936,0.057400949
ENSG00000108342.12,CSF3,1440,17,1,40015361,40017813,-1.471615411,0.975659091,4.967833464,0.041196137,0.164067117
ENSG00000108344.15,PSMD3,5709,17,1,39980807,39997959,-0.014413311,7.473436565,0.030636547,0.862786217,0.929428465
ENSG00000108349.17,CASC3,22794,17,1,40140318,40172171,0.133005279,6.567680912,1.788358837,0.195905795,0.404938228
ENSG00000108352.12,RAPGEFL1,51195,17,1,40177010,40195656,0.671703383,4.68304449,8.785380053,0.007583993,0.06097975
ENSG00000108375.12,RNF43,54894,17,-1,58353676,58417595,0.172090946,6.077936664,0.363987953,0.552975828,0.731472493
ENSG00000108379.10,WNT3,7473,17,-1,46762506,46833154,-0.298752758,1.97561663,1.999074175,0.172535414,0.37716117
ENSG00000108384.15,RAD51C,5889,17,1,58692573,58735611,-0.597424115,3.697615517,7.393509491,0.013094581,0.083317904
ENSG00000108387.14,SEPTIN4,5414,17,-1,58520250,58544368,-0.144978956,0.224679747,0.160906149,0.692510978,0.829019097
ENSG00000108389.9,MTMR4,9110,17,-1,58489529,58517905,0.016197195,5.531317833,0.022431314,0.882422144,0.9389546
ENSG00000108395.14,TRIM37,4591,17,-1,58982638,59106921,-0.007243344,5.760368488,0.006046044,0.93878255,0.967217451
ENSG00000108406.10,DHX40,79665,17,1,59565558,59608345,0.165491766,6.375385653,3.643354176,0.070520907,0.225363679
ENSG00000108423.15,TUBD1,51174,17,-1,59859479,59892945,-0.038671465,3.27309239,0.072359727,0.790644138,0.888974212
ENSG00000108424.10,KPNB1,3837,17,1,47649476,47685505,-0.258911187,8.484152189,5.532960943,0.028843889,0.132422352
ENSG00000108433.16,GOSR2,9570,17,1,46923075,46975524,-0.050228002,5.62854912,0.654021357,0.428047225,0.630417244
ENSG00000108439.10,PNPO,55163,17,1,47941506,47949308,-0.165171818,5.238734417,2.657153381,0.118490836,0.305936662
ENSG00000108443.14,RPS6KB1,6198,17,1,59893046,59950574,0.066277565,5.745386307,0.673392814,0.421395059,0.624855949
ENSG00000108465.15,CDK5RAP3,80279,17,1,47967810,47981781,0.331367877,6.629496353,15.89458618,0.000707176,0.014654867
ENSG00000108468.15,CBX1,10951,17,-1,48070052,48101478,-0.142761017,6.813106392,2.987022358,0.099103173,0.275980927
ENSG00000108469.15,RECQL5,9400,17,-1,75626845,75667189,0.344327009,4.793732717,3.670548034,0.069560732,0.22426593
ENSG00000108474.16,PIGL,9487,17,1,16217191,16351797,-0.197895742,2.822034417,1.406618604,0.249303308,0.464930554
ENSG00000108479.11,GALK1,2584,17,-1,75751594,75765236,0.142954503,5.131478808,0.697949943,0.413190126,0.618407888
ENSG00000108506.12,INTS2,57508,17,-1,61865367,61928016,-0.103034669,4.167949469,0.586203456,0.452694114,0.651092148
ENSG00000108509.21,CAMTA2,23125,17,-1,4967992,4987675,0.346770317,5.192369194,2.135806862,0.159188992,0.361354182
ENSG00000108510.10,MED13,9969,17,-1,61942605,62065278,-0.101088013,6.230400347,1.308499368,0.265964999,0.483018543
ENSG00000108511.10,HOXB6,3216,17,-1,48595751,48604992,0.358048405,4.000377315,5.222796257,0.033162368,0.142943069
ENSG00000108515.17,ENO3,2027,17,1,4948092,4957131,-0.064318003,4.146823882,0.108885727,0.81666192,0.903201936
ENSG00000108518.7,PFN1,5216,17,-1,4945652,4949061,-0.436966401,9.904155845,4.696529876,0.042272654,0.166641104
ENSG00000108523.15,RNF167,26001,17,1,4940008,4945222,-0.001392312,6.397198824,9.14E-05,0.992464699,0.996013969
ENSG00000108528.14,SLC25A11,8402,17,-1,4937130,4940053,-0.067852926,5.788442571,0.20306116,0.657033109,0.804859583
ENSG00000108557.19,RAI1,10743,17,1,17681458,17811453,0.312714685,6.437206057,2.23320455,0.150442758,0.349631462
ENSG00000108559.12,NUP88,4927,17,-1,5359668,5420164,-0.236369563,5.705596542,11.73564908,0.002631841,0.032434495
ENSG00000108561.8,C1QBP,708,17,-1,5432777,5448830,-0.378956721,7.356921047,4.582643665,0.044599659,0.172631439
ENSG00000108578.15,BLMH,642,17,-1,30248203,30292056,-0.22487188,4.847112079,4.80845719,0.040119166,0.160930665
ENSG00000108582.12,CPD,1362,17,1,30378927,30469989,0.214632576,7.41751487,2.692315169,0.116223483,0.302810505
ENSG00000108587.15,GOSR1,9527,17,1,30477362,30527592,0.189509603,5.672707071,3.474783253,0.07682603,0.236861209
ENSG00000108588.14,CCDC47,57003,17,-1,63745255,63776351,-0.0811556,7.416917601,0.97494955,0.33506235,0.552157909
ENSG00000108590.11,MED31,51003,17,-1,6643311,6651634,-0.447950523,3.381090439,3.648272531,0.07034612,0.225339289
ENSG00000108591.10,DRG2,1819,17,1,18087892,18107970,-0.038285573,4.848208781,0.2068023,0.654106825,0.802442526
ENSG00000108592.17,FTSJ3,117246,17,-1,63819433,63830012,0.113377499,6.552395514,1.095649645,0.307516093,0.5253985
ENSG00000108599.15,AKAP10,11216,17,-1,19904302,19978343,-0.146444291,4.719893767,3.011628896,0.097812763,0.274374915
ENSG00000108602.18,ALDH3A1,218,17,-1,19737984,19748943,0.786505165,5.052915256,15.34335097,0.000833335,0.016127901
ENSG00000108604.15,SMARCD2,6603,17,-1,63832081,63843065,0.092340329,6.640961941,2.027342997,0.169667347,0.373966965
ENSG00000108622.11,ICAM2,3384,17,-1,64002594,64020634,-0.750835097,3.217154559,4.209756202,0.053304279,0.19162227
ENSG00000108639.7,SYNGR2,9144,17,1,78168581,78173527,0.344612201,8.106550689,3.098424476,0.09341541,0.266703174
ENSG00000108641.15,B9D1,27077,17,-1,19334308,19378193,0.00247343,3.948024888,0.000144392,0.990529809,0.995258581
ENSG00000108651.10,UTP6,55813,17,-1,31860904,31901708,-0.221958754,5.49285552,8.921501428,0.007202294,0.059401677
ENSG00000108654.14,DDX5,1655,17,-1,64498254,64508199,-0.102306545,8.794616349,0.889112413,0.356795853,0.572011442
ENSG00000108666.10,C17orf75,64149,17,-1,32324565,32350023,-0.010170768,4.177643006,0.009875625,0.921813564,0.959050645
ENSG00000108669.16,CYTH1,9267,17,-1,78674048,78782297,0.271374677,6.070374029,4.381819853,0.049067325,0.183135733
ENSG00000108671.11,PSMD11,5717,17,1,32444379,32483319,-0.230212853,6.744563225,6.780218763,0.016848693,0.097066927
ENSG00000108679.13,LGALS3BP,3959,17,-1,78971238,78979947,0.150225586,9.673995127,1.041666032,0.319433846,0.537057546
ENSG00000108733.10,PEX12,5193,17,-1,35574795,35578863,0.244893823,3.222229536,3.468031431,0.077091837,0.237409018
ENSG00000108771.13,DHX58,79132,17,-1,42101404,42112714,0.424986167,4.058427481,12.42690753,0.002088137,0.028127205
ENSG00000108773.11,KAT2A,2648,17,-1,42113111,42121367,-0.12413406,6.098291546,1.73076282,0.202966264,0.41404749
ENSG00000108774.14,RAB5C,5878,17,-1,42124978,42155044,-0.022808195,7.476759961,0.046652891,0.831147037,0.9121286
ENSG00000108784.10,NAGLU,4669,17,1,42536241,42544449,0.151924082,5.416122009,3.054877564,0.095592077,0.270551243
ENSG00000108786.10,HSD17B1,3292,17,1,42552922,42555214,0.242606432,2.731991755,1.394348118,0.251311159,0.466869336
ENSG00000108788.11,MLX,6945,17,1,42567072,42573239,-0.356099221,6.356614805,4.980280549,0.037051043,0.153846346
ENSG00000108797.12,CNTNAP1,8506,17,1,42682531,42699993,0.540277793,4.144704409,4.878436539,0.038836094,0.158090716
ENSG00000108799.13,EZH1,2145,17,-1,42700275,42745049,0.226681599,4.981156775,1.665464422,0.211360476,0.423990852
ENSG00000108813.11,DLX4,1748,17,1,49968588,49974959,0.868258342,1.258749122,8.437728677,0.008665113,0.065720195
ENSG00000108819.11,PPP1R9B,84687,17,-1,50133737,50150677,0.398647552,6.453207865,4.215327212,0.053160716,0.191562077
ENSG00000108821.13,COL1A1,1277,17,-1,50184101,50201632,0.750814547,4.600230059,8.187926347,0.009547857,0.068860057
ENSG00000108825.17,PTGES3L-AARSD1,100885850,17,-1,42950526,42980528,0.528966759,0.363622366,1.086282613,0.309539814,0.527384429
ENSG00000108826.16,MRPL27,51264,17,-1,50367857,50373207,-0.290920278,5.403182412,1.728454185,0.20325584,0.414229101
ENSG00000108828.16,VAT1,10493,17,-1,43014607,43025123,0.263341643,7.987328491,9.151418294,0.006605134,0.056525512
ENSG00000108829.10,LRRC59,55379,17,-1,50375059,50397523,-0.220969067,7.51486707,2.981993764,0.09936933,0.276479687
ENSG00000108839.12,ALOX12,239,17,1,6996049,7010754,0.078074653,-0.714969651,0.024727463,0.876600249,0.936532785
ENSG00000108840.15,HDAC5,10014,17,-1,44076746,44123702,0.572216392,5.913336655,19.80294406,0.00023762,0.008069966
ENSG00000108846.16,ABCC3,8714,17,1,50634777,50692253,-0.191520325,7.478420873,0.933684824,0.345268837,0.560874485
ENSG00000108848.16,LUC7L3,51747,17,1,50719565,50756219,0.099934944,7.073930318,0.253213886,0.620232687,0.777362428
ENSG00000108852.14,MPP2,4355,17,-1,43875357,43909711,-0.191705843,2.57004254,0.472443056,0.499636862,0.690621706
ENSG00000108854.16,SMURF2,64750,17,-1,64542282,64662307,-0.459016174,6.240003772,21.34611017,0.000159398,0.006506341
ENSG00000108861.9,DUSP3,1845,17,-1,43766125,43778977,0.031970968,6.285808683,0.150552805,0.70204301,0.835605227
ENSG00000108883.13,EFTUD2,9343,17,-1,44849948,44899445,-0.000385579,6.926004725,1.66E-05,0.996791555,0.998472218
ENSG00000108932.12,SLC16A6,9120,17,-1,68267026,68291267,-0.021678737,-0.312531435,0.003728388,0.951907655,0.974357842
ENSG00000108946.14,PRKAR1A,5573,17,1,68511780,68551319,-0.023974609,7.80705428,0.068631486,0.79597746,0.891627142
ENSG00000108947.5,EFNB3,1949,17,1,7705202,7711372,-0.381340113,2.092750215,0.420957162,0.523726324,0.709289522
ENSG00000108950.12,FAM20A,54757,17,-1,68535113,68601367,0.2608019,0.650684025,0.12093106,0.731603614,0.854923283
ENSG00000108953.17,YWHAE,7531,17,-1,1344275,1400222,-0.190706626,9.191432895,3.917499497,0.061497176,0.208341791
ENSG00000108960.9,MMD,23531,17,-1,55392622,55421924,-0.449572318,3.438603089,5.890817408,0.024629684,0.120728474
ENSG00000108961.14,RANGRF,29098,17,1,8288654,8290092,-0.302050922,4.015205832,1.844894107,0.189270246,0.39723749
ENSG00000108963.17,DPH1,1801,17,1,2030137,2043898,0.168919373,4.96761851,4.486089698,0.046687102,0.178000358
ENSG00000108984.15,MAP2K6,5608,17,1,69414697,69553865,0.653773028,3.93512909,9.290906337,0.006269776,0.055234717
ENSG00000109016.17,DHRS7B,25979,17,1,21123364,21193265,-0.145913695,4.207663951,0.89594486,0.354993557,0.570076185
ENSG00000109046.15,WSB1,26118,17,1,27294076,27315926,0.026644101,6.706059666,0.013479541,0.908712039,0.951519835
ENSG00000109062.12,SLC9A3R1,9368,17,1,74748628,74769353,0.471743239,6.983170668,14.68872605,0.00101646,0.018279991
ENSG00000109063.15,MYH3,4621,17,-1,10628526,10657309,0.784214207,1.105483443,4.833317752,0.039657919,0.159794247
ENSG00000109065.11,NAT9,26151,17,-1,74770529,74776367,-0.216198561,5.271871085,2.296035802,0.145108036,0.342462404
ENSG00000109066.13,TMEM104,54868,17,1,74776499,74839753,0.160449716,4.7606112,2.582007015,0.123514729,0.313360672
ENSG00000109072.14,VTN,7448,17,-1,28367284,28373091,1.506040568,2.341193085,4.738408379,0.0414519,0.164609914
ENSG00000109079.10,TNFAIP1,7126,17,1,28335602,28347009,-0.005013078,6.111277932,0.007235322,0.933045732,0.963872598
ENSG00000109083.13,IFT20,90410,17,-1,28328325,28335489,-0.158683233,4.504789173,0.609653327,0.443921,0.643800159
ENSG00000109084.14,TMEM97,27346,17,1,28319200,28328685,-0.801252952,5.264554455,12.64166869,0.001945502,0.026850318
ENSG00000109089.7,CDR2L,30850,17,1,74987632,75005800,0.134277305,5.033482949,1.393085745,0.251518913,0.466918379
ENSG00000109099.15,PMP22,5376,17,-1,15229773,15272292,-0.308565495,4.443747053,2.014445639,0.170968578,0.375332819
