,ensembl_gene_id,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,gene_biotype,logFC,logCPM,F,PValue,FDR
ENSG00000115137.11,ENSG00000115137,DNAJC27,51277,2,-1,24943636,24972094,protein_coding,0.125289629,2.274973896,2.000212004,0.163679654,0.267471181
ENSG00000115145.10,ENSG00000115145,STAM2,10254,2,-1,152116801,152175763,protein_coding,0.191710067,5.157910839,12.64687793,0.000853029,0.003455729
ENSG00000115159.16,ENSG00000115159,GPD2,2820,2,1,156435290,156613735,protein_coding,-0.314065512,6.357109504,17.52946102,0.000118938,0.000641608
ENSG00000115163.15,ENSG00000115163,CENPA,1058,2,1,26764289,26801067,protein_coding,-0.919551376,3.795943326,32.93781169,6.11E-07,7.25E-06
ENSG00000115170.13,ENSG00000115170,ACVR1,90,2,-1,157736251,157876330,protein_coding,-0.13830367,4.682696545,3.272120278,0.076681681,0.146656572
ENSG00000115183.15,ENSG00000115183,TANC1,85461,2,1,158968640,159232659,protein_coding,-0.040760628,5.764277228,0.147745188,0.702383611,0.796993281
ENSG00000115194.10,ENSG00000115194,SLC30A3,7781,2,-1,27253684,27275817,protein_coding,0.329614238,0.161403493,0.68648271,0.411431569,0.542486788
ENSG00000115204.15,ENSG00000115204,MPV17,4358,2,-1,27309492,27325680,protein_coding,-0.056110007,5.205210036,0.36785062,0.547013317,0.668930494
ENSG00000115207.13,ENSG00000115207,GTF3C2,2976,2,-1,27325849,27356999,protein_coding,0.090370261,6.603976476,6.642532678,0.01305852,0.034328312
ENSG00000115211.15,ENSG00000115211,EIF2B4,8890,2,-1,27364352,27370338,protein_coding,0.113264419,5.335375683,7.022252287,0.010844889,0.029318497
ENSG00000115216.14,ENSG00000115216,NRBP1,29959,2,1,27427790,27442259,protein_coding,0.079781918,6.94790957,3.6026301,0.063661875,0.126292409
ENSG00000115221.12,ENSG00000115221,ITGB6,3694,2,-1,160099667,160200313,protein_coding,-0.196257539,6.297325103,0.779484847,0.381664025,0.512768244
ENSG00000115226.10,ENSG00000115226,FNDC4,64838,2,-1,27491883,27495200,protein_coding,0.556647175,2.313812873,8.132054618,0.00637717,0.018937496
ENSG00000115233.12,ENSG00000115233,PSMD14,10213,2,1,161308425,161411717,protein_coding,-0.475507905,6.467960389,38.85179171,1.07E-07,1.72E-06
ENSG00000115234.11,ENSG00000115234,SNX17,9784,2,1,27370496,27377535,protein_coding,0.111993049,7.02253839,2.951886356,0.092170956,0.169957943
ENSG00000115239.21,ENSG00000115239,ASB3,51130,2,-1,53532672,53860160,protein_coding,-0.016895383,3.910555832,0.104677181,0.747681628,0.831303042
ENSG00000115241.11,ENSG00000115241,PPM1G,5496,2,-1,27381195,27409591,protein_coding,-0.346408465,7.671293441,34.8104981,3.47E-07,4.55E-06
ENSG00000115255.11,ENSG00000115255,REEP6,92840,19,1,1491166,1497927,protein_coding,0.672254609,4.544415109,44.10181833,2.52E-08,5.27E-07
ENSG00000115257.15,ENSG00000115257,PCSK4,54760,19,-1,1481428,1490752,protein_coding,1.020996018,2.094545832,44.11817841,2.51E-08,5.26E-07
ENSG00000115266.11,ENSG00000115266,APC2,10297,19,1,1446302,1473244,protein_coding,0.506836326,2.743659707,9.335325828,0.003651115,0.011850926
ENSG00000115267.7,ENSG00000115267,IFIH1,64135,2,-1,162267074,162318684,protein_coding,0.054784304,4.497325743,0.394322317,0.5329887,0.656248427
ENSG00000115268.9,ENSG00000115268,RPS15,6209,19,1,1438358,1440495,protein_coding,0.004476058,9.678034614,0.000903174,0.976148521,0.986400643
ENSG00000115271.11,ENSG00000115271,GCA,25801,2,1,162318840,162371595,protein_coding,0.045858835,4.298151411,0.346257515,0.558976131,0.679107169
ENSG00000115274.15,ENSG00000115274,INO80B,83444,2,1,74455087,74457944,protein_coding,0.501786657,5.467168546,40.20586937,7.31E-08,1.27E-06
ENSG00000115275.12,ENSG00000115275,MOGS,7841,2,-1,74461057,74465410,protein_coding,0.034471691,6.749671761,0.379005145,0.541021163,0.663349269
ENSG00000115282.19,ENSG00000115282,TTC31,64427,2,1,74483073,74494559,protein_coding,0.11591392,4.952435155,3.701520088,0.060255544,0.120780086
ENSG00000115286.20,ENSG00000115286,NDUFS7,374291,19,1,1383527,1395589,protein_coding,-0.029974646,6.026580817,0.072537811,0.788822111,0.862355494
ENSG00000115289.14,ENSG00000115289,PCGF1,84759,2,-1,74505043,74507695,protein_coding,-0.108170251,4.077268403,1.048911888,0.3108508,0.439689202
ENSG00000115290.9,ENSG00000115290,GRB14,2888,2,-1,164492417,164621482,protein_coding,0.255219107,1.556990577,0.770413616,0.384923716,0.516426539
ENSG00000115295.20,ENSG00000115295,CLIP4,79745,2,1,29097705,29199777,protein_coding,-0.047631506,4.823951683,0.159510969,0.691364537,0.787808165
ENSG00000115306.16,ENSG00000115306,SPTBN1,6711,2,1,54456317,54671446,protein_coding,-0.109847501,8.56221442,1.373332959,0.246977894,0.368660487
ENSG00000115307.17,ENSG00000115307,AUP1,550,2,-1,74526645,74529760,protein_coding,-0.251322614,6.822673086,8.011225697,0.006751209,0.019872987
ENSG00000115310.18,ENSG00000115310,RTN4,57142,2,-1,54972187,55112621,protein_coding,-0.109376517,8.352374378,6.998081436,0.010973161,0.029623706
ENSG00000115317.11,ENSG00000115317,HTRA2,27429,2,1,74529596,74533350,protein_coding,0.05160758,5.385328957,0.433666668,0.513316605,0.639264519
ENSG00000115325.13,ENSG00000115325,DOK1,1796,2,1,74549026,74557551,protein_coding,0.235952732,3.563949655,12.2751649,0.000998968,0.003940292
ENSG00000115339.13,ENSG00000115339,GALNT3,2591,2,-1,165747588,165794659,protein_coding,-0.377466999,5.58621483,2.677329992,0.108275019,0.19299517
ENSG00000115350.11,ENSG00000115350,POLE4,56655,2,1,74958643,74970128,protein_coding,-0.24838083,5.434258001,2.721664216,0.105472339,0.189176086
ENSG00000115355.16,ENSG00000115355,CCDC88A,55704,2,-1,55287842,55419895,protein_coding,-0.308792728,5.807475555,10.92872382,0.001789182,0.006459469
ENSG00000115363.14,ENSG00000115363,EVA1A,84141,2,-1,75469302,75569722,protein_coding,-0.363746661,4.329841431,2.036170134,0.160017191,0.263049982
ENSG00000115364.14,ENSG00000115364,MRPL19,9801,2,1,75646783,75690851,protein_coding,-0.330584426,5.774438034,31.16350631,1.06E-06,1.14E-05
ENSG00000115365.11,ENSG00000115365,LANCL1,10314,2,-1,210427131,210477652,protein_coding,0.230691862,7.766952158,22.60691019,1.82E-05,0.000128797
ENSG00000115368.10,ENSG00000115368,WDR75,84128,2,1,189441446,189475552,protein_coding,-0.384443824,5.593751245,64.86263485,1.73E-10,1.12E-08
ENSG00000115392.11,ENSG00000115392,FANCL,55120,2,-1,58159243,58241410,protein_coding,-0.165534496,4.422108069,5.537946063,0.022718357,0.054238971
ENSG00000115414.19,ENSG00000115414,FN1,2335,2,-1,215360440,215436073,protein_coding,-0.453532914,6.996601157,6.953947251,0.011211557,0.03017376
ENSG00000115415.18,ENSG00000115415,STAT1,6772,2,-1,190908460,191020960,protein_coding,-0.078314539,7.251699371,1.326196315,0.255141447,0.378372266
ENSG00000115419.12,ENSG00000115419,GLS,2744,2,1,190880821,190965552,protein_coding,-0.44019098,7.099032658,23.67256551,1.25E-05,9.36E-05
ENSG00000115421.13,ENSG00000115421,PAPOLG,64895,2,1,60756253,60802086,protein_coding,0.012136854,3.765554176,0.038418854,0.845425307,0.903386335
ENSG00000115423.18,ENSG00000115423,DNAH6,1768,2,1,84516455,84819589,protein_coding,0.982704272,1.684070024,12.30607488,0.000985888,0.003894402
ENSG00000115425.14,ENSG00000115425,PECR,55825,2,-1,215996329,216082955,protein_coding,0.126897676,3.806631225,3.044450068,0.087362237,0.163055195
ENSG00000115446.11,ENSG00000115446,UNC50,25972,2,1,98608579,98618515,protein_coding,0.006899298,4.958305715,0.016241697,0.899118004,0.938846474
ENSG00000115457.10,ENSG00000115457,IGFBP2,3485,2,1,216632828,216664436,protein_coding,0.007729565,5.923032631,0.004324181,0.947841031,0.969726469
ENSG00000115459.18,ENSG00000115459,ELMOD3,84173,2,1,85354394,85391752,protein_coding,0.340873706,3.335847349,17.418407,0.000124145,0.000665169
ENSG00000115461.5,ENSG00000115461,IGFBP5,3488,2,-1,216672105,216695549,protein_coding,0.849442065,1.059432602,5.998115076,0.017992016,0.044878011
ENSG00000115464.14,ENSG00000115464,USP34,9736,2,-1,61187463,61471087,protein_coding,-0.070059173,6.622409173,0.694435692,0.408754361,0.540166904
ENSG00000115484.15,ENSG00000115484,CCT4,10575,2,-1,61868085,61888671,protein_coding,-0.341998967,8.055020509,38.27717747,1.26E-07,1.95E-06
ENSG00000115486.12,ENSG00000115486,GGCX,2677,2,-1,85544720,85561532,protein_coding,-0.007062187,5.43522516,0.01788327,0.89417203,0.935494932
ENSG00000115504.14,ENSG00000115504,EHBP1,23301,2,1,62673851,63046487,protein_coding,-0.181331029,5.962174699,9.271072632,0.003759842,0.012139277
ENSG00000115507.10,ENSG00000115507,OTX1,5013,2,1,63050057,63057836,protein_coding,0.503915269,2.677926785,22.85591688,1.67E-05,0.000119448
ENSG00000115514.12,ENSG00000115514,TXNDC9,10190,2,-1,99318982,99340702,protein_coding,-0.155111706,5.125494611,3.144088747,0.082496626,0.155677998
ENSG00000115520.8,ENSG00000115520,COQ10B,80219,2,1,197453493,197475310,protein_coding,-0.190542341,4.634496091,9.146795592,0.003979947,0.012718834
ENSG00000115524.16,ENSG00000115524,SF3B1,23451,2,-1,197388515,197435079,protein_coding,-0.043830381,8.273308018,0.274644362,0.602625553,0.715278135
ENSG00000115525.18,ENSG00000115525,ST3GAL5,8869,2,-1,85837120,85905199,protein_coding,-0.258107055,2.592676305,2.898066348,0.095102769,0.174171896
ENSG00000115526.11,ENSG00000115526,CHST10,9486,2,-1,100391860,100417668,protein_coding,0.039543562,3.280131314,0.043623708,0.835532759,0.89653503
ENSG00000115539.14,ENSG00000115539,PDCL3,79031,2,1,100562993,100576739,protein_coding,-0.132662525,4.966273224,2.476348352,0.122086753,0.212578666
ENSG00000115540.15,ENSG00000115540,MOB4,25843,2,1,197515571,197553699,protein_coding,-0.186863104,5.520714225,9.927884487,0.002791561,0.00946685
ENSG00000115541.11,ENSG00000115541,HSPE1,3336,2,1,197500140,197503449,protein_coding,-0.527107509,7.108480965,16.10625133,0.000207316,0.001026672
ENSG00000115548.17,ENSG00000115548,KDM3A,55818,2,1,86440647,86492716,protein_coding,-0.311141648,6.220649339,9.986232019,0.00271931,0.009261468
ENSG00000115556.14,ENSG00000115556,PLCD4,84812,2,1,218607855,218637184,protein_coding,0.729404916,1.160658759,23.02364921,1.57E-05,0.000113314
ENSG00000115561.16,ENSG00000115561,CHMP3,51652,2,-1,86503430,86563479,protein_coding,0.161962225,7.554419004,14.38636647,0.000413868,0.001871369
ENSG00000115568.15,ENSG00000115568,ZNF142,7701,2,-1,218633329,218659655,protein_coding,-0.029459923,4.555748463,0.083995352,0.773192627,0.850236955
ENSG00000115590.14,ENSG00000115590,IL1R2,7850,2,1,101991960,102028544,protein_coding,-0.762730778,0.637710299,4.276664765,0.044006972,0.093394345
ENSG00000115594.12,ENSG00000115594,IL1R1,3554,2,1,102064544,102179874,protein_coding,-0.147878796,4.788855829,1.21641441,0.275520653,0.401343287
ENSG00000115602.16,ENSG00000115602,IL1RL1,9173,2,1,102311502,102352037,protein_coding,-1.92176662,-0.832816674,31.52513155,1.29E-06,1.35E-05
ENSG00000115604.10,ENSG00000115604,IL18R1,8809,2,1,102311529,102398777,protein_coding,-0.022154003,1.486880315,0.007656655,0.930633366,0.959787967
ENSG00000115616.2,ENSG00000115616,SLC9A2,6549,2,1,102619553,102711355,protein_coding,0.09733672,3.669918313,0.121817864,0.728585432,0.818041657
ENSG00000115641.19,ENSG00000115641,FHL2,2274,2,-1,105357712,105438513,protein_coding,-0.482711881,7.099818335,19.5895455,5.45E-05,0.00032756
ENSG00000115648.14,ENSG00000115648,MLPH,79083,2,1,237485428,237555322,protein_coding,-0.209592735,6.373515335,1.48824657,0.22840128,0.34649907
ENSG00000115649.16,ENSG00000115649,CNPPD1,27013,2,-1,219171897,219178106,protein_coding,0.166079135,6.413804955,14.31657498,0.000425849,0.001918456
ENSG00000115652.14,ENSG00000115652,UXS1,80146,2,-1,106093308,106194301,protein_coding,-0.069743013,6.089570689,1.392590101,0.243737141,0.364774698
ENSG00000115657.14,ENSG00000115657,ABCB6,10058,2,-1,219209772,219218994,protein_coding,-0.051377218,4.817963818,0.156997035,0.693678356,0.789441494
ENSG00000115661.14,ENSG00000115661,STK16,8576,2,1,219245455,219250337,protein_coding,0.285271338,5.28211501,7.750381575,0.007640192,0.021961885
ENSG00000115677.17,ENSG00000115677,HDLBP,3069,2,-1,241227264,241317061,protein_coding,0.116362317,9.574531358,5.907607851,0.018830955,0.046601684
ENSG00000115685.15,ENSG00000115685,PPP1R7,5510,2,1,241149576,241183652,protein_coding,0.114203907,5.930887344,2.667402774,0.108914068,0.193980233
ENSG00000115687.13,ENSG00000115687,PASK,23178,2,-1,241106099,241150264,protein_coding,-0.259725232,4.065419615,5.38279874,0.02459888,0.057846876
ENSG00000115694.15,ENSG00000115694,STK25,10494,2,-1,241492670,241509730,protein_coding,0.051928661,7.057849322,1.007465617,0.320503873,0.44998824
ENSG00000115718.17,ENSG00000115718,PROC,5624,2,1,127418427,127429242,protein_coding,0.89775685,2.715303123,11.30060848,0.001520529,0.005620616
ENSG00000115738.10,ENSG00000115738,ID2,3398,2,1,8678845,8684461,protein_coding,0.587496291,4.778308014,14.99391403,0.000323358,0.001502977
ENSG00000115750.17,ENSG00000115750,TAF1B,9014,2,1,9843443,9934416,protein_coding,-0.297468019,3.463716972,18.72462769,7.54E-05,0.000432879
ENSG00000115756.13,ENSG00000115756,HPCAL1,3241,2,1,10302889,10427617,protein_coding,-0.279439901,6.666926165,5.688462655,0.02104064,0.05096519
ENSG00000115758.13,ENSG00000115758,ODC1,4953,2,-1,10439968,10448327,protein_coding,-0.548686631,7.73451268,24.61074998,9.06E-06,7.15E-05
ENSG00000115760.14,ENSG00000115760,BIRC6,57448,2,1,32357023,32619571,protein_coding,-0.098849615,6.311952484,1.736101972,0.193838167,0.305952673
ENSG00000115761.16,ENSG00000115761,NOL10,79954,2,-1,10562347,10689987,protein_coding,-0.281531539,5.275584638,24.83051995,8.41E-06,6.71E-05
ENSG00000115762.16,ENSG00000115762,PLEKHB2,55041,2,1,131104847,131353709,protein_coding,-0.171888875,7.25922695,18.77853653,7.39E-05,0.000425614
ENSG00000115806.13,ENSG00000115806,GORASP2,26003,2,1,170928464,170967130,protein_coding,0.023248804,6.817919012,0.300310177,0.586207344,0.701099539
ENSG00000115808.12,ENSG00000115808,STRN,6801,2,-1,36837698,36966536,protein_coding,-0.186625421,5.47116648,8.558213111,0.005223607,0.016020488
ENSG00000115816.15,ENSG00000115816,CEBPZ,10153,2,-1,37201612,37231596,protein_coding,-0.304968903,5.923069766,28.73512674,2.29E-06,2.19E-05
ENSG00000115825.10,ENSG00000115825,PRKD3,23683,2,-1,37250502,37324833,protein_coding,-0.145765014,5.06279565,7.088080478,0.010503558,0.02864074
ENSG00000115827.14,ENSG00000115827,DCAF17,80067,2,1,171434217,171485052,protein_coding,0.006465497,3.886187387,0.00848298,0.926996391,0.9571975
ENSG00000115828.17,ENSG00000115828,QPCT,25797,2,1,37342827,37373322,protein_coding,0.597749141,1.191898274,3.016874054,0.251517053,0.373985506
ENSG00000115839.17,ENSG00000115839,RAB3GAP1,22930,2,1,135052289,135176667,protein_coding,0.037202534,6.272290986,0.320092961,0.574166179,0.69183455
ENSG00000115840.14,ENSG00000115840,SLC25A12,8604,2,-1,171783405,171999859,protein_coding,0.087137006,4.702198974,4.484446267,0.039368453,0.085324709
ENSG00000115841.20,ENSG00000115841,RMDN2,151393,2,1,37923187,38067142,protein_coding,-0.088766389,1.714311863,0.637956097,0.428354921,0.559787422
ENSG00000115866.11,ENSG00000115866,DARS1,1615,2,-1,135905881,135986100,protein_coding,-0.265213293,6.60539901,27.37720267,3.57E-06,3.22E-05
ENSG00000115875.19,ENSG00000115875,SRSF7,6432,2,-1,38743599,38751494,protein_coding,-0.510483125,7.009818014,28.71618446,2.31E-06,2.20E-05
ENSG00000115884.11,ENSG00000115884,SDC1,6382,2,-1,20200797,20225433,protein_coding,-0.210381453,8.77576643,7.503834438,0.008595075,0.024280606
ENSG00000115896.16,ENSG00000115896,PLCL1,5334,2,1,197804593,198572581,protein_coding,0.253823336,-0.901921361,0.377943119,0.541586395,0.663855856
ENSG00000115902.11,ENSG00000115902,SLC1A4,6509,2,1,64988477,65023865,protein_coding,-0.032577144,3.323667312,0.121613518,0.728803915,0.818082395
ENSG00000115904.12,ENSG00000115904,SOS1,6654,2,-1,38962206,39124345,protein_coding,0.124087892,5.466476114,4.077371743,0.049019153,0.101927754
ENSG00000115919.15,ENSG00000115919,KYNU,8942,2,1,142877657,143055833,protein_coding,0.17348417,5.130578604,1.613330837,0.21009806,0.325632733
ENSG00000115935.17,ENSG00000115935,WIPF1,7456,2,-1,174559572,174682916,protein_coding,-0.40139601,2.664132771,0.970755721,0.329392888,0.459071102
ENSG00000115942.9,ENSG00000115942,ORC2,4999,2,-1,200908977,200963680,protein_coding,-0.234040327,4.943988415,16.87972206,0.00015301,0.000792366
ENSG00000115944.15,ENSG00000115944,COX7A2L,9167,2,-1,42333546,42425088,protein_coding,0.106359957,6.996216563,0.860916493,0.358087661,0.489440973
ENSG00000115946.8,ENSG00000115946,PNO1,56902,2,1,68157888,68176238,protein_coding,-0.464901864,4.976795404,29.30020906,1.91E-06,1.88E-05
ENSG00000115947.13,ENSG00000115947,ORC4,5000,2,-1,147930396,148021604,protein_coding,-0.050447055,5.04426034,1.192391303,0.280254917,0.406967846
ENSG00000115963.13,ENSG00000115963,RND3,390,2,-1,150468195,150539011,protein_coding,-0.046445164,5.62605268,0.038343514,0.845574975,0.903386335
ENSG00000115966.17,ENSG00000115966,ATF2,1386,2,-1,175072250,175168382,protein_coding,-0.005476897,5.329849979,0.011800281,0.913945896,0.948593868
ENSG00000115970.18,ENSG00000115970,THADA,63892,2,-1,43230851,43596038,protein_coding,-0.112115261,4.829702645,1.951593107,0.168789344,0.274323415
ENSG00000115977.19,ENSG00000115977,AAK1,22848,2,-1,69457997,69674349,protein_coding,0.032140727,5.014368591,0.252368568,0.617690825,0.727552939
ENSG00000115993.13,ENSG00000115993,TRAK2,66008,2,-1,201377207,201451500,protein_coding,0.189400516,5.333167522,10.68092197,0.001995583,0.007103727
ENSG00000115998.7,ENSG00000115998,C2orf42,54980,2,-1,70149885,70248615,protein_coding,0.148965527,2.923400386,4.576638809,0.03748271,0.081963005
ENSG00000116001.16,ENSG00000116001,TIA1,7072,2,-1,70209444,70248660,protein_coding,0.221139472,6.131479861,5.921380476,0.018700639,0.046364368
ENSG00000116005.12,ENSG00000116005,PCYOX1,51449,2,1,70257386,70281185,protein_coding,0.128725297,6.757634979,4.341848829,0.042490918,0.090835211
ENSG00000116016.14,ENSG00000116016,EPAS1,2034,2,1,46293667,46386697,protein_coding,-0.503456436,6.44612026,6.379325061,0.014872521,0.038319216
ENSG00000116017.11,ENSG00000116017,ARID3A,1820,19,1,925781,975939,protein_coding,-0.276502559,3.794378236,8.176308264,0.006245721,0.018625163
ENSG00000116030.16,ENSG00000116030,SUMO1,7341,2,-1,202206182,202238599,protein_coding,-0.078560047,7.323532682,0.689575094,0.410387475,0.5417126
ENSG00000116032.5,ENSG00000116032,GRIN3B,116444,19,1,1000419,1009732,protein_coding,1.190420146,1.403970216,19.8730889,4.91E-05,0.000298975
ENSG00000116035.4,ENSG00000116035,VAX2,25806,2,1,70900576,70965373,protein_coding,0.255204923,0.06618788,0.609097526,0.439365021,0.570213588
ENSG00000116039.13,ENSG00000116039,ATP6V1B1,525,2,1,70935900,70965431,protein_coding,1.08084753,-0.031214988,14.58942752,0.000380978,0.001741404
ENSG00000116044.16,ENSG00000116044,NFE2L2,4780,2,-1,177218667,177392756,protein_coding,-0.146844197,6.535110621,7.333049787,0.009330255,0.025988117
ENSG00000116062.15,ENSG00000116062,MSH6,2956,2,1,47695530,47810063,protein_coding,-0.317665617,6.220931966,17.71154015,0.000110889,0.000602533
ENSG00000116095.11,ENSG00000116095,PLEKHA3,65977,2,1,178480457,178516463,protein_coding,-0.058776084,4.500451936,1.133791139,0.292252764,0.420173386
ENSG00000116096.6,ENSG00000116096,SPR,6697,2,1,72887382,72892158,protein_coding,0.18491076,6.046758084,6.083936508,0.017233333,0.043332649
ENSG00000116106.12,ENSG00000116106,EPHA4,2043,2,-1,221418027,221574202,protein_coding,-0.345491466,5.082787433,3.554776807,0.065385837,0.129009408
ENSG00000116117.18,ENSG00000116117,PARD3B,117583,2,1,204545475,205620162,protein_coding,0.375721051,3.073510827,5.990234549,0.01806345,0.045008263
ENSG00000116120.10,ENSG00000116120,FARSB,10056,2,-1,222566899,222656092,protein_coding,-0.589688239,5.90553393,46.69482805,1.28E-08,3.05E-07
ENSG00000116127.18,ENSG00000116127,ALMS1,7840,2,1,73385758,73625166,protein_coding,-0.111498303,4.309939,2.644853912,0.110381541,0.19615295
ENSG00000116128.11,ENSG00000116128,BCL9,607,1,1,147541501,147626216,protein_coding,0.336637504,5.053340872,16.36750386,0.000187012,0.000938542
ENSG00000116132.12,ENSG00000116132,PRRX1,5396,1,1,170662728,170739421,protein_coding,0.476687444,1.381798625,4.860063834,0.032272278,0.072608582
ENSG00000116133.13,ENSG00000116133,DHCR24,1718,1,-1,54849627,54887195,protein_coding,-0.563390619,8.439084019,33.78264711,4.73E-07,5.83E-06
ENSG00000116138.13,ENSG00000116138,DNAJC16,23341,1,1,15526813,15592379,protein_coding,0.148231664,4.498128471,4.727787584,0.034599345,0.076855734
ENSG00000116151.14,ENSG00000116151,MORN1,79906,1,-1,2321253,2391707,protein_coding,0.433746328,2.168195879,16.51832069,0.000176248,0.000889827
ENSG00000116161.17,ENSG00000116161,CACYBP,27101,1,1,174999163,175012027,protein_coding,-0.44647605,6.799700641,30.04077036,1.51E-06,1.55E-05
ENSG00000116171.18,ENSG00000116171,SCP2,6342,1,1,52927276,53051698,protein_coding,0.189653563,7.082145437,11.2446966,0.001558047,0.005738828
ENSG00000116176.6,ENSG00000116176,TPSG1,25823,16,-1,1221651,1225268,protein_coding,0.904105122,0.368054046,5.764869575,0.021297224,0.05150334
ENSG00000116191.17,ENSG00000116191,RALGPS2,55103,1,1,178725165,178921842,protein_coding,0.164681776,5.442518691,3.836793642,0.055915883,0.113705759
ENSG00000116198.13,ENSG00000116198,CEP104,9731,1,-1,3812086,3857396,protein_coding,0.067700435,4.839029887,1.727825924,0.194885459,0.30728165
ENSG00000116199.12,ENSG00000116199,FAM20B,9917,1,1,179025804,179076567,protein_coding,-0.134689174,5.885551076,5.78343254,0.020050734,0.048995896
ENSG00000116205.14,ENSG00000116205,TCEANC2,127428,1,1,54053584,54112519,protein_coding,0.050887922,3.944637873,0.6182228,0.435542216,0.566788565
ENSG00000116209.11,ENSG00000116209,TMEM59,9528,1,-1,54026681,54053504,protein_coding,0.322110129,7.893918995,23.74800743,1.22E-05,9.17E-05
ENSG00000116212.15,ENSG00000116212,LRRC42,115353,1,1,53946085,53968168,protein_coding,-0.043363788,5.460194912,0.591529092,0.445566473,0.575986601
ENSG00000116213.16,ENSG00000116213,WRAP73,49856,1,-1,3630767,3652761,protein_coding,-0.063724033,4.346554739,1.364498914,0.248482601,0.370413971
ENSG00000116221.15,ENSG00000116221,MRPL37,51253,1,1,54184041,54225464,protein_coding,-0.167365867,7.117959009,2.725569067,0.10522944,0.188815846
ENSG00000116237.16,ENSG00000116237,ICMT,23463,1,-1,6221193,6235972,protein_coding,-0.292806592,7.035523439,23.86644547,1.17E-05,8.85E-05
ENSG00000116251.11,ENSG00000116251,RPL22,6146,1,-1,6185020,6209389,protein_coding,-0.080172044,9.207051473,0.39755303,0.531322389,0.654864883
ENSG00000116254.18,ENSG00000116254,CHD5,26038,1,-1,6101787,6180321,protein_coding,0.249725384,1.974468528,1.011649624,0.319511345,0.449062794
ENSG00000116260.17,ENSG00000116260,QSOX1,5768,1,1,180154869,180204030,protein_coding,0.095682459,8.382954924,1.288180297,0.261974549,0.386421066
ENSG00000116266.11,ENSG00000116266,STXBP3,6814,1,1,108746674,108809523,protein_coding,-0.004054905,5.821156962,0.004898516,0.94449055,0.967327228
ENSG00000116273.6,ENSG00000116273,PHF13,148479,1,1,6613731,6624030,protein_coding,2.16E-05,4.889036479,3.07E-07,0.99956028,0.999917776
ENSG00000116285.13,ENSG00000116285,ERRFI1,54206,1,-1,8004404,8026309,protein_coding,-1.239989295,8.154998901,63.18086906,2.49E-10,1.44E-08
ENSG00000116288.13,ENSG00000116288,PARK7,11315,1,1,7954291,7985505,protein_coding,-0.178752566,7.795061739,2.613686357,0.112446941,0.199061676
ENSG00000116299.17,ENSG00000116299,ELAPOR1,57535,1,1,109113679,109206781,protein_coding,0.066475133,5.961294016,0.066018652,0.798313773,0.869408415
ENSG00000116337.16,ENSG00000116337,AMPD2,271,1,1,109616104,109632051,protein_coding,-0.108934143,5.910733745,2.614600332,0.112385754,0.198999439
ENSG00000116350.17,ENSG00000116350,SRSF4,6429,1,-1,29147743,29181900,protein_coding,-0.270971372,6.499040492,21.27663994,2.94E-05,0.000192979
ENSG00000116353.15,ENSG00000116353,MECR,51102,1,-1,29192657,29230942,protein_coding,-0.183939763,4.700018865,5.471928016,0.023498983,0.055746971
ENSG00000116396.14,ENSG00000116396,KCNC4,3749,1,1,110210314,110283100,protein_coding,-0.251616451,3.579207643,1.907423399,0.173594998,0.280307436
ENSG00000116406.19,ENSG00000116406,EDEM3,80267,1,-1,184690237,184754907,protein_coding,-0.112939185,5.322542341,1.298486684,0.2600994,0.384033642
ENSG00000116455.14,ENSG00000116455,WDR77,79084,1,-1,111439890,111449256,protein_coding,-0.510417447,5.323439417,42.33253394,4.07E-08,7.89E-07
ENSG00000116459.11,ENSG00000116459,ATP5PB,515,1,1,111448864,111462773,protein_coding,-0.096901604,7.336286085,1.253715762,0.268371136,0.393572042
ENSG00000116473.14,ENSG00000116473,RAP1A,5906,1,1,111542218,111716691,protein_coding,0.075241528,5.918491839,1.445676737,0.235073818,0.354570575
ENSG00000116478.12,ENSG00000116478,HDAC1,3065,1,1,32292083,32333635,protein_coding,-0.171082311,7.843979856,14.73209472,0.000359515,0.001652788
ENSG00000116489.13,ENSG00000116489,CAPZA1,829,1,1,112619805,112671616,protein_coding,-0.217535382,7.549196526,25.93736768,5.77E-06,4.86E-05
ENSG00000116497.18,ENSG00000116497,S100PBP,64766,1,1,32816767,32858875,protein_coding,0.142292049,4.343744876,4.681511734,0.035455758,0.078408974
ENSG00000116514.16,ENSG00000116514,RNF19B,127544,1,-1,32936445,32964809,protein_coding,-0.115905716,5.477299851,2.728581786,0.105042466,0.188530583
ENSG00000116521.11,ENSG00000116521,SCAMP3,10067,1,-1,155255979,155262430,protein_coding,-0.007339897,6.438709604,0.014175364,0.905720475,0.943254585
ENSG00000116525.14,ENSG00000116525,TRIM62,55223,1,-1,33145399,33182059,protein_coding,0.460212653,2.901892211,13.89814248,0.000505727,0.002221835
ENSG00000116539.13,ENSG00000116539,ASH1L,55870,1,-1,155335268,155563162,protein_coding,0.023103236,6.321306732,0.062028207,0.804372661,0.873993688
ENSG00000116544.12,ENSG00000116544,DLGAP3,58512,1,-1,34865436,34929650,protein_coding,0.714614248,0.802220382,6.931960946,0.011332367,0.030403596
ENSG00000116560.11,ENSG00000116560,SFPQ,6421,1,-1,35176378,35193446,protein_coding,-0.231229825,7.687073733,11.53586301,0.001372769,0.005178127
